"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 11:48:10 CST 2024","Tue Apr 02 11:48:10 CST 2024","196","test_case","test_ryvue","TestRyvue","","","验证【用户管理】添加用户，deptld为109，其他数据正常，添加成功","actual_data:{'msg': '操作成功', 'code': 200}"
"passed","Tue Apr 02 11:48:38 CST 2024","Tue Apr 02 11:48:38 CST 2024","50","test_case","test_ryvue","TestRyvue","","","验证【用户管理】查询用户，params[endTime]符合时间格式且起始时间等于结束时间，其他数据正常，查询失败","actual_data:{'total': 1, 'rows': [{'createBy': 'admin', 'createTime': '2024-04-01 19:28:14', 'updateBy': None, 'updateTime': None, 'remark': '管理员', 'userId': 1, 'deptId': 103, 'userName': 'admin', 'nickName': '若依', 'email': 'ry@163.com', 'phonenumber': '15888888888', 'sex': '1', 'avatar': '', 'password': None, 'status': '0', 'delFlag': '0', 'loginIp': '110.191.179.157', 'loginDate': '2024-04-02T11:48:05.000+08:00', 'dept': {'createBy': None, 'createTime': None, 'updateBy': None, 'updateTime': None, 'remark': None, 'deptId': 103, 'parentId': None, 'ancestors': None, 'deptName': '研发部门', 'orderNum': None, 'leader': '若依', 'phone': None, 'email': None, 'status': None, 'delFlag': None, 'parentName': None, 'children': []}, 'roles': [], 'roleIds': None, 'postIds': None, 'roleId': None, 'admin': True}], 'code': 200, 'msg': '查询成功'}"
"failed","Tue Apr 02 11:48:28 CST 2024","Tue Apr 02 11:48:29 CST 2024","80","test_case","test_ryvue","TestRyvue","","","验证【用户管理】修改用户，password含有特殊字符，其他数据正常，修改失败","actual_data:{'msg': ""修改用户'test'失败，登录账号已存在"", 'code': 500}"
"passed","Tue Apr 02 11:48:27 CST 2024","Tue Apr 02 11:48:27 CST 2024","78","test_case","test_ryvue","TestRyvue","","","验证【用户管理】修改用户，email@开头，其他数据正常，修改失败","actual_data:{'msg': '邮箱格式不正确', 'code': 500}"
"failed","Tue Apr 02 11:48:30 CST 2024","Tue Apr 02 11:48:30 CST 2024","86","test_case","test_ryvue","TestRyvue","","","验证【用户管理】修改用户，rolelds为1，其他数据正常，修改失败","actual_data:{'msg': ""修改用户'test'失败，登录账号已存在"", 'code': 500}"
"failed","Tue Apr 02 11:48:22 CST 2024","Tue Apr 02 11:48:22 CST 2024","197","test_case","test_ryvue","TestRyvue","","","验证【用户管理】添加用户，nickName为空，其他数据正常，添加失败","actual_data:{'msg': ""\n### Error updating database.  Cause: java.sql.SQLException: Field 'nick_name' doesn't have a default value\n### The error may exist in URL [jar:file:/ruoyi/app/ruoyi-admin.jar!/BOOT-INF/lib/ruoyi-system-3.8.7.jar!/mapper/system/SysUserMapper.xml]\n### The error may involve com.ruoyi.system.mapper.SysUserMapper.insertUser-Inline\n### The error occurred while setting parameters\n### SQL: insert into sys_user(                  user_name,                                     password,       status,       create_by,            create_time    )values(                  ?,                                     ?,       ?,       ?,            sysdate()    )\n### Cause: java.sql.SQLException: Field 'nick_name' doesn't have a default value\n; Field 'nick_name' doesn't have a default value; nested exception is java.sql.SQLException: Field 'nick_name' doesn't have a default value"", 'code': 500}"
"passed","Tue Apr 02 11:48:23 CST 2024","Tue Apr 02 11:48:23 CST 2024","113","test_case","test_ryvue","TestRyvue","","","验证【用户管理】添加用户，nickName过31个字符，其他数据正常，添加失败","actual_data:{'msg': '用户昵称长度不能超过30个字符', 'code': 500}"
"passed","Tue Apr 02 11:48:21 CST 2024","Tue Apr 02 11:48:21 CST 2024","197","test_case","test_ryvue","TestRyvue","","","验证【用户管理】添加用户，sex为2，其他数据正常，添加成功","actual_data:{'msg': '操作成功', 'code': 200}"
"failed","Tue Apr 02 11:48:31 CST 2024","Tue Apr 02 11:48:31 CST 2024","81","test_case","test_ryvue","TestRyvue","","","验证【用户管理】修改用户，rolelds为2，其他数据正常，修改成功","actual_data:{'msg': ""修改用户'test'失败，登录账号已存在"", 'code': 500}"
"passed","Tue Apr 02 11:48:37 CST 2024","Tue Apr 02 11:48:37 CST 2024","49","test_case","test_ryvue","TestRyvue","","","验证【用户管理】查询用户，phonenumber以18开头的11位纯数字，其他数据正常，查询成功","actual_data:{'total': 1, 'rows': [{'createBy': 'admin', 'createTime': '2024-04-02 11:48:15', 'updateBy': None, 'updateTime': None, 'remark': None, 'userId': 149, 'deptId': None, 'userName': 'userManagement_049', 'nickName': 'userManagement_049', 'email': '', 'phonenumber': '18502502921', 'sex': '0', 'avatar': '', 'password': None, 'status': '0', 'delFlag': '0', 'loginIp': '', 'loginDate': None, 'dept': None, 'roles': [], 'roleIds': None, 'postIds': None, 'roleId': None, 'admin': False}], 'code': 200, 'msg': '查询成功'}"
